minutes_watched,CLV,region,channel,Clicks,Conversions,Campaign_Spend,CTR,Conversion_Rate,Revenue,ROI,Cluster
6404.0,528.89,2,1,640,32,128.08,9.993753903810118,5.0,1600,1149.2192379762648,3
8413.0,302.11,1,3,841,42,168.26,9.996434090098656,4.9940546967895365,2100,1148.0684654701058,3
3492.0,223.22,1,7,349,17,69.84,9.994272623138603,4.871060171919771,850,1117.0675830469645,3
34370.0,295.71,0,1,3437,171,687.4,10.0,4.97526913005528,8550,1143.8172825138204,0
1188.0,147.0,2,1,118,5,23.76,9.932659932659933,4.23728813559322,250,952.1885521885522,3
611.0,353.53,0,3,61,3,12.22,9.983633387888707,4.918032786885246,150,1127.495908346972,3
980.0,359.03,0,4,98,4,19.6,10.0,4.081632653061225,200,920.4081632653061,3
1171.0,268.99,2,5,117,5,23.42,9.991460290350128,4.273504273504273,250,967.463706233988,3
55380.0,64.8,0,7,5538,276,1107.6000000000001,10.0,4.9837486457204765,13800,1145.937161430119,2
3.0,213.61,2,4,0,0,0.06,0.0,0.0,0,-100.0,3
1616.0,174.01,2,3,161,8,32.32,9.962871287128714,4.968944099378882,400,1137.6237623762377,3
288.0,184.44,2,7,28,1,5.76,9.722222222222223,3.571428571428571,50,768.0555555555557,3
1465.0,270.49,0,1,146,7,29.3,9.965870307167235,4.794520547945205,350,1094.5392491467576,3
6331.0,99.0,2,4,633,31,126.62,9.998420470699731,4.897314375987362,1550,1124.135207708103,3
313.0,118.47,2,1,31,1,6.26,9.904153354632587,3.225806451612903,50,698.7220447284345,3
804.0,213.97,2,3,80,4,16.080000000000002,9.950248756218906,5.0,200,1143.781094527363,3
1971.0,207.55,0,3,197,9,39.42,9.994926433282597,4.568527918781726,450,1041.552511415525,3
1054.0,172.8,2,7,105,5,21.080000000000002,9.962049335863378,4.761904761904762,250,1085.9582542694495,3
9138.0,245.98,2,4,913,45,182.76,9.991245349091706,4.928806133625411,2250,1131.1227839789888,3
2128.0,333.9,0,3,212,10,42.56,9.962406015037594,4.716981132075472,500,1074.812030075188,3
3875.0,331.99,0,3,387,19,77.5,9.98709677419355,4.909560723514212,950,1125.8064516129032,3
12436.0,84.96,2,3,1243,62,248.72,9.99517529752332,4.98793242156074,3100,1146.3814731424898,0
3564.0,62.58,2,1,356,17,71.28,9.988776655443322,4.775280898876404,850,1092.4803591470259,3
2571.0,36.0,0,8,257,12,51.42,9.99611046285492,4.669260700389105,600,1066.8611435239206,3
214.0,119.0,0,3,21,1,4.28,9.813084112149532,4.761904761904762,50,1068.2242990654204,3
10616.0,350.09,2,7,1061,53,212.32,9.994348153730218,4.995287464655985,2650,1148.116051243406,0
55539.0,313.2,2,3,5553,277,1110.78,9.998379517096094,4.988294615523141,13850,1146.8715677271828,2
11578.0,285.36,2,3,1157,57,231.56,9.993090343755398,4.926534140017287,2850,1130.782518569701,0
766.0,177.41,2,1,76,3,15.32,9.921671018276761,3.9473684210526314,150,879.11227154047,3
2912.0,269.97,0,6,291,14,58.24,9.993131868131869,4.810996563573884,700,1101.923076923077,3
3229.0,62.58,2,1,322,16,64.58,9.972127593682254,4.968944099378882,800,1138.7736141220191,3
37167.0,388.62,2,3,3716,185,743.34,9.998116608819652,4.978471474703983,9250,1144.3834584443189,0
59.0,129.6,2,4,5,0,1.18,8.47457627118644,0.0,0,-100.0,3
1390.0,46.0,2,4,139,6,27.8,10.0,4.316546762589928,300,979.1366906474818,3
2778.0,227.78,1,4,277,13,55.56,9.971202303815694,4.693140794223827,650,1069.906407487401,3
613.0,184.44,0,1,61,3,12.26,9.9510603588907,4.918032786885246,150,1123.4910277324634,3
9005.0,285.36,0,1,900,45,180.1,9.994447529150472,5.0,2250,1149.3059411438092,3
4315.0,149.99,2,3,431,21,86.3,9.988412514484358,4.872389791183294,1050,1116.685979142526,3
262.0,174.0,2,4,26,1,5.24,9.923664122137405,3.8461538461538463,50,854.1984732824426,3
4308.0,184.45,2,3,430,21,86.16,9.98142989786444,4.883720930232558,1050,1118.6629526462398,3
89131.0,496.08,0,7,8913,445,1782.6200000000001,9.999887805589527,4.992707281498935,22250,1148.1628165284806,2
2327.0,330.6,2,3,232,11,46.54,9.969918349806619,4.741379310344827,550,1081.7791147400087,3
1602.0,184.43,2,7,160,8,32.04,9.987515605493133,5.0,400,1148.4394506866417,3
671.0,269.76,0,6,67,3,13.42,9.985096870342772,4.477611940298507,150,1017.7347242921014,3
2408.0,82.04,2,2,240,12,48.160000000000004,9.966777408637874,5.0,600,1145.8471760797343,3
6937.0,174.0,2,7,693,34,138.74,9.989909182643794,4.9062049062049065,1700,1125.3135361107106,3
94.0,149.99,2,1,9,0,1.8800000000000001,9.574468085106384,0.0,0,-100.0,3
5554.0,484.69,1,3,555,27,111.08,9.992797983435361,4.864864864864865,1350,1115.340295282679,3
228.0,64.8,0,7,22,1,4.5600000000000005,9.649122807017543,4.545454545454546,50,996.4912280701753,3
7270.0,302.48,0,3,727,36,145.4,10.0,4.951856946354883,1800,1137.9642365887207,3
126.0,91.5,2,3,12,0,2.52,9.523809523809524,0.0,0,-100.0,3
6012.0,207.06,2,7,601,30,120.24000000000001,9.996673320026614,4.9916805324459235,1500,1147.5049900199601,3
6197.0,169.04,1,1,619,30,123.94,9.988704211715346,4.846526655896607,1500,1110.2630304986283,3
4139.0,331.99,2,3,413,20,82.78,9.978255617298865,4.842615012106537,1000,1108.0212611741968,3
828.0,233.63,1,1,82,4,16.56,9.903381642512077,4.878048780487805,200,1107.729468599034,3
2076.0,36.0,2,3,207,10,41.52,9.971098265895954,4.830917874396135,500,1104.2389210019269,3
2967.0,62.58,2,3,296,14,59.34,9.976407145264577,4.72972972972973,700,1079.6427367711492,3
115.0,150.64,0,1,11,0,2.3000000000000003,9.565217391304348,0.0,0,-100.0,3
2719.0,187.57,2,3,271,13,54.38,9.9668995954395,4.797047970479705,650,1095.292386906951,3
1166.0,62.58,2,1,116,5,23.32,9.948542024013722,4.310344827586207,250,972.041166380789,3
2432.0,149.99,2,1,243,12,48.64,9.991776315789473,4.938271604938271,600,1133.5526315789475,3
6261.0,245.98,2,1,626,31,125.22,9.998402811052548,4.952076677316294,1550,1137.8214342756746,3
22927.0,245.98,0,3,2292,114,458.54,9.996946831247001,4.973821989528796,5700,1143.0758494351637,0
5912.0,279.59,2,1,591,29,118.24000000000001,9.996617050067659,4.906937394247039,1450,1126.319350473613,3
5935.0,245.98,2,3,593,29,118.7,9.991575400168493,4.8903878583473865,1450,1121.5669755686604,3
25.0,149.68,0,1,2,0,0.5,8.0,0.0,0,-100.0,3
15163.0,149.99,2,1,1516,75,303.26,9.998021499703224,4.947229551451187,3750,1136.5626854844027,0
4199.0,149.99,2,3,419,20,83.98,9.978566325315551,4.77326968973747,1000,1090.7597046915932,3
2334.0,248.43,0,2,233,11,46.68,9.98286203941731,4.721030042918455,550,1078.234790059983,3
19502.0,171.58,2,1,1950,97,390.04,9.998974464157524,4.9743589743589745,4850,1143.4622090042046,0
4087.0,184.44,0,1,408,20,81.74,9.982872522632737,4.901960784313726,1000,1123.391240518718,3
302.0,150.0,2,3,30,1,6.04,9.933774834437086,3.3333333333333335,50,727.8145695364238,3
6853.0,149.99,2,3,685,34,137.06,9.995622355172918,4.963503649635037,1700,1140.3327010068583,3
3194.0,62.58,2,7,319,15,63.88,9.987476518472135,4.702194357366771,750,1074.07639323732,3
43.0,63.63,2,3,4,0,0.86,9.30232558139535,0.0,0,-100.0,3
2311.0,147.0,2,1,231,11,46.22,9.995672868887926,4.761904761904762,550,1089.9610558199913,3
2387.0,207.57,1,6,238,11,47.74,9.970674486803519,4.621848739495799,550,1052.073732718894,3
2964.0,313.2,2,7,296,14,59.28,9.986504723346828,4.72972972972973,700,1080.8367071524965,3
2931.0,184.44,2,1,293,14,58.620000000000005,9.996588195155237,4.778156996587031,700,1094.1316956670078,3
1707.0,149.99,0,7,170,8,34.14,9.958992384299941,4.705882352941177,400,1071.6461628588168,3
13349.0,64.8,2,3,1334,66,266.98,9.99325792194172,4.94752623688156,3300,1136.0476440182786,0
2389.0,331.99,2,2,238,11,47.78,9.962327333612391,4.621848739495799,550,1051.109250732524,3
1242.0,331.99,0,3,124,6,24.84,9.98389694041868,4.838709677419355,300,1107.729468599034,3
997.0,149.72,0,3,99,4,19.94,9.929789368104313,4.040404040404041,200,903.0090270812436,3
2058.0,230.97,1,1,205,10,41.160000000000004,9.961127308066084,4.878048780487805,500,1114.771622934888,3
171.0,149.99,0,1,17,0,3.42,9.941520467836257,0.0,0,-100.0,3
927.0,212.91,1,1,92,4,18.54,9.924487594390508,4.3478260869565215,200,978.7486515641856,3
229.0,184.44,0,3,22,1,4.58,9.606986899563319,4.545454545454546,50,991.703056768559,3
2575.0,149.99,2,3,257,12,51.5,9.980582524271844,4.669260700389105,600,1065.0485436893205,3
26240.0,64.8,0,8,2624,131,524.8,10.0,4.992378048780488,6550,1148.094512195122,0
13035.0,365.71,1,4,1303,65,260.7,9.996164173379363,4.98848810437452,3250,1146.6436517069428,0
1162.0,119.0,0,3,116,5,23.240000000000002,9.982788296041308,4.310344827586207,250,975.7314974182442,3
33.0,149.99,0,1,3,0,0.66,9.090909090909092,0.0,0,-100.0,3
401.0,323.82,1,3,40,2,8.02,9.975062344139651,5.0,100,1146.8827930174564,3
8273.0,207.37,1,3,827,41,165.46,9.996373745920465,4.957678355501813,2050,1138.9701438414118,3
3021.0,172.15,2,7,302,15,60.42,9.996689837802052,4.966887417218543,750,1141.3108242303874,3
291.0,325.04,2,1,29,1,5.82,9.965635738831615,3.4482758620689653,50,759.106529209622,3
3500.0,62.58,2,2,350,17,70.0,10.0,4.857142857142857,850,1114.2857142857142,3
7692.0,271.71,0,3,769,38,153.84,9.99739989599584,4.9414824447334205,1900,1135.0494019760793,3
7638.0,184.64,2,3,763,38,152.76,9.989526053940823,4.980340760157274,1900,1143.7810945273632,3
14810.0,285.36,2,1,1481,74,296.2,10.0,4.9966239027684,3700,1149.1559756921001,0
1187.0,360.88,1,7,118,5,23.740000000000002,9.941027801179445,4.23728813559322,250,953.0749789385004,3
55284.0,64.8,0,1,5528,276,1105.68,9.999276463352869,4.992764109985528,13800,1148.1007163012805,2
5849.0,342.2,2,3,584,29,116.98,9.984612754316977,4.965753424657534,1450,1139.5281244657206,3
3632.0,270.69,0,6,363,18,72.64,9.994493392070485,4.958677685950414,900,1138.9867841409691,3
24213.0,199.49,2,4,2421,121,484.26,9.998760996159088,4.997934737711689,6050,1149.328872919506,0
357.0,149.99,2,1,35,1,7.140000000000001,9.803921568627452,2.857142857142857,50,600.2801120448179,3
5605.0,304.63,1,3,560,28,112.10000000000001,9.991079393398751,5.0,1400,1148.8849241748437,3
9074.0,119.0,0,2,907,45,181.48,9.995591800749395,4.961411245865491,2250,1139.8060392329735,3
3997.0,343.82,1,3,399,19,79.94,9.98248686514886,4.761904761904762,950,1088.3912934701025,3
1443.0,313.77,2,7,144,7,28.86,9.97920997920998,4.861111111111112,350,1112.7512127512127,3
1409.0,19.0,2,8,140,7,28.18,9.9361249112846,5.0,350,1142.0156139105748,3
48.0,119.0,2,4,4,0,0.96,8.333333333333332,0.0,0,-100.0,3
1268.0,313.26,2,1,126,6,25.36,9.936908517350158,4.761904761904762,300,1082.9652996845425,3
46.0,63.63,2,4,4,0,0.92,8.695652173913043,0.0,0,-100.0,3
8231.0,174.14,0,1,823,41,164.62,9.998785080792128,4.981773997569866,2050,1145.2921880694935,3
20799.0,174.0,0,1,2079,103,415.98,9.995672868887926,4.954304954304954,5150,1138.040290398577,0
957.0,269.98,0,7,95,4,19.14,9.926854754440962,4.2105263157894735,200,944.9320794148381,3
348.0,174.0,0,3,34,1,6.96,9.770114942528735,2.941176470588235,50,618.3908045977012,3
2522.0,313.42,0,3,252,12,50.44,9.992069785884219,4.761904761904762,600,1089.5321173671687,3
14187.0,267.48,0,3,1418,70,283.74,9.995065905406358,4.9365303244005645,3500,1133.5236484105167,0
3750.0,331.79,0,3,375,18,75.0,10.0,4.8,900,1100.0,3
1407.0,146.93,0,1,140,7,28.14,9.950248756218906,5.0,350,1143.7810945273632,3
1915.0,62.58,2,1,191,9,38.300000000000004,9.973890339425587,4.712041884816754,450,1074.9347258485639,3
72.0,259.02,2,7,7,0,1.44,9.722222222222223,0.0,0,-100.0,3
1354.0,119.0,2,8,135,6,27.080000000000002,9.970457902511077,4.444444444444445,300,1007.8286558345642,3
263.0,182.51,1,6,26,1,5.26,9.885931558935361,3.8461538461538463,50,850.5703422053232,3
585.0,149.99,2,3,58,2,11.700000000000001,9.914529914529915,3.4482758620689653,100,754.7008547008546,3
1569.0,302.48,0,3,156,7,31.38,9.94263862332696,4.487179487179487,350,1015.3601019757808,3
2031.0,174.0,0,1,203,10,40.62,9.99507631708518,4.926108374384237,500,1130.9207287050715,3
3468.0,443.98,0,3,346,17,69.36,9.976931949250288,4.913294797687861,850,1125.4901960784314,3
247.0,119.0,0,3,24,1,4.94,9.7165991902834,4.166666666666666,50,912.1457489878543,3
1231.0,184.44,0,3,123,6,24.62,9.991876523151909,4.878048780487805,300,1118.5215272136475,3
54.0,49.5,0,1,5,0,1.08,9.25925925925926,0.0,0,-100.0,3
289.0,121.0,2,1,28,1,5.78,9.688581314878892,3.571428571428571,50,765.0519031141868,3
444.0,77.3,2,4,44,2,8.88,9.90990990990991,4.545454545454546,100,1026.126126126126,3
423.0,36.0,0,8,42,2,8.46,9.929078014184398,4.761904761904762,100,1082.0330969267138,3
629.0,150.24,2,3,62,3,12.58,9.85691573926868,4.838709677419355,150,1092.3688394276628,3
507.0,62.58,2,1,50,2,10.14,9.861932938856016,4.0,100,886.1932938856014,3
2483.0,184.44,2,3,248,12,49.660000000000004,9.987917841320982,4.838709677419355,600,1108.2158679017316,3
8867.0,245.98,2,1,886,44,177.34,9.992105559941356,4.966139954853273,2200,1140.5548663584077,3
32131.0,292.6,1,3,3213,160,642.62,9.999688774081106,4.979769685652038,8000,1144.9036755781021,0
2623.0,149.99,2,3,262,13,52.46,9.988562714449104,4.961832061068702,650,1139.0392680137247,3
909.0,149.99,2,3,90,4,18.18,9.900990099009901,4.444444444444445,200,1000.1100110011,3
21279.0,269.98,2,7,2127,106,425.58,9.995770477935993,4.983544898918665,5300,1145.3592744019927,0
356.0,149.99,2,6,35,1,7.12,9.831460674157304,2.857142857142857,50,602.247191011236,3
8022.0,48.6,0,3,802,40,160.44,9.997506856145598,4.987531172069826,2000,1146.5719272001995,3
1502.0,269.98,2,2,150,7,30.04,9.986684420772303,4.666666666666667,350,1065.1131824234353,3
94.0,149.99,2,3,9,0,1.8800000000000001,9.574468085106384,0.0,0,-100.0,3
32947.0,217.18,2,6,3294,164,658.94,9.997875375603241,4.978749241044323,8200,1144.4228609585089,0
9723.0,157.2,2,6,972,48,194.46,9.996914532551681,4.938271604938271,2400,1134.1869793273681,3
20292.0,245.98,2,8,2029,101,405.84000000000003,9.999014389907353,4.977821586988664,5050,1144.3327419672776,0
3704.0,61.2,2,1,370,18,74.08,9.989200863930886,4.864864864864865,900,1114.902807775378,3
9930.0,62.58,2,4,993,49,198.6,10.0,4.934541792547835,2450,1133.6354481369588,0
1869.0,149.99,2,6,186,9,37.38,9.951845906902086,4.838709677419355,450,1103.852327447833,3
2283.0,246.42,0,3,228,11,45.660000000000004,9.986859395532194,4.824561403508771,550,1104.5554095488392,3
780.0,149.99,2,2,78,3,15.6,10.0,3.8461538461538463,150,861.5384615384617,3
34.0,358.0,1,2,3,0,0.68,8.823529411764707,0.0,0,-100.0,3
771.0,162.37,2,2,77,3,15.42,9.987029831387808,3.896103896103896,150,872.762645914397,3
12035.0,217.44,2,1,1203,60,240.70000000000002,9.995845450768591,4.987531172069826,3000,1146.3647694225176,0
364.0,62.58,2,4,36,1,7.28,9.89010989010989,2.7777777777777777,50,586.8131868131868,3
163.0,270.04,2,4,16,0,3.2600000000000002,9.815950920245399,0.0,0,-100.0,3
3001.0,24.71,2,1,300,15,60.02,9.99666777740753,5.0,750,1149.5834721759413,3
19622.0,245.98,2,3,1962,98,392.44,9.998980735908674,4.994903160040775,4900,1148.5985118744268,0
4384.0,245.98,2,1,438,21,87.68,9.99087591240876,4.794520547945205,1050,1097.5364963503648,3
1224.0,269.98,2,3,122,6,24.48,9.967320261437909,4.918032786885246,300,1125.4901960784314,3
538.0,149.99,2,6,53,2,10.76,9.851301115241636,3.7735849056603774,100,829.3680297397768,3
1116.0,149.99,2,1,111,5,22.32,9.946236559139784,4.504504504504505,250,1020.0716845878137,3
1518.0,150.44,0,1,151,7,30.36,9.947299077733861,4.635761589403973,350,1052.832674571805,3
0.0,300.06,0,4,0,0,0.0,0.0,0.0,0,0.0,3
189.0,150.19,2,3,18,0,3.7800000000000002,9.523809523809524,0.0,0,-100.0,3
2781.0,184.44,0,3,278,13,55.620000000000005,9.996404171161451,4.676258992805756,650,1068.6443725278675,3
484.0,9.5,2,1,48,2,9.68,9.917355371900827,4.166666666666666,100,933.0578512396693,3
1416.0,19.0,2,3,141,7,28.32,9.957627118644067,4.964539007092199,350,1135.8757062146892,3
831.0,149.99,2,2,83,4,16.62,9.987966305655837,4.819277108433735,200,1103.3694344163657,3
1852.0,62.58,2,3,185,9,37.04,9.989200863930886,4.864864864864865,450,1114.902807775378,3
176.0,36.0,2,3,17,0,3.52,9.659090909090908,0.0,0,-100.0,3
488.0,121.0,0,1,48,2,9.76,9.836065573770492,4.166666666666666,100,924.5901639344263,3
25571.0,144.0,0,3,2557,127,511.42,9.999608931993272,4.96675791943684,6350,1141.6409213562238,0
616.0,348.13,0,3,61,3,12.32,9.902597402597403,4.918032786885246,150,1117.5324675324675,3
694.0,184.44,2,2,69,3,13.88,9.94236311239193,4.3478260869565215,150,980.6916426512968,3
1512.0,174.61,2,4,151,7,30.240000000000002,9.986772486772487,4.635761589403973,350,1057.4074074074072,3
929.0,149.99,0,1,92,4,18.580000000000002,9.903121636167922,4.3478260869565215,200,976.4262648008608,3
3153.0,99.0,1,1,315,15,63.06,9.990485252140818,4.761904761904762,750,1089.3434823977166,3
14177.0,230.35,0,1,1417,70,283.54,9.995062425054666,4.940014114326042,3500,1134.3937363334978,0
1914.0,174.0,2,1,191,9,38.28,9.979101358411704,4.712041884816754,450,1075.5485893416928,3
382.0,174.0,0,1,38,1,7.640000000000001,9.947643979057592,2.631578947368421,50,554.4502617801046,3
81.0,331.99,0,3,8,0,1.62,9.876543209876543,0.0,0,-100.0,3
1827.0,149.99,2,8,182,9,36.54,9.961685823754788,4.945054945054945,450,1131.527093596059,3
1548.0,184.44,2,3,154,7,30.96,9.948320413436692,4.545454545454546,350,1030.4909560723513,3
5193.0,174.62,0,3,519,25,103.86,9.99422299248989,4.8169556840077075,1250,1103.5432312728676,3
26.0,149.99,0,3,2,0,0.52,7.6923076923076925,0.0,0,-100.0,3
756.0,174.0,1,4,75,3,15.120000000000001,9.920634920634921,4.0,150,892.0634920634919,3
5454.0,149.99,2,1,545,27,109.08,9.992665933259993,4.954128440366973,1350,1137.6237623762377,3
620.0,184.44,0,1,62,3,12.4,10.0,4.838709677419355,150,1109.6774193548385,3
229.0,174.0,0,4,22,1,4.58,9.606986899563319,4.545454545454546,50,991.703056768559,3
371.0,173.99,2,1,37,1,7.42,9.973045822102426,2.7027027027027026,50,573.8544474393531,3
1517.0,173.59,0,8,151,7,30.34,9.95385629531971,4.635761589403973,350,1053.5926170072512,3
188.0,119.0,0,4,18,0,3.7600000000000002,9.574468085106384,0.0,0,-100.0,3
1360.0,174.0,2,2,136,6,27.2,10.0,4.411764705882353,300,1002.9411764705882,3
11949.0,378.8,1,2,1194,59,238.98000000000002,9.99246798895305,4.941373534338359,2950,1134.412921583396,0
749.0,172.8,0,7,74,3,14.98,9.879839786381844,4.054054054054054,150,901.3351134846463,3
46.0,145.67,1,1,4,0,0.92,8.695652173913043,0.0,0,-100.0,3
2252.0,394.64,1,1,225,11,45.04,9.991119005328597,4.888888888888889,550,1121.1367673179395,3
15353.0,626.4,2,3,1535,76,307.06,9.998045984498145,4.951140065146579,3800,1137.543151175666,0
8623.0,335.41,1,1,862,43,172.46,9.99652093239012,4.988399071925754,2150,1146.6658935405312,3
920.0,174.0,0,3,92,4,18.400000000000002,10.0,4.3478260869565215,200,986.9565217391303,3
654.0,141.12,2,4,65,3,13.08,9.938837920489297,4.615384615384616,150,1046.788990825688,3
115.0,147.12,2,3,11,0,2.3000000000000003,9.565217391304348,0.0,0,-100.0,3
173.0,62.58,2,1,17,0,3.46,9.826589595375722,0.0,0,-100.0,3
1749.0,182.16,1,3,174,8,34.980000000000004,9.948542024013722,4.597701149425287,400,1043.5105774728415,3
520.0,178.03,1,7,52,2,10.4,10.0,3.8461538461538463,100,861.5384615384615,3
2729.0,413.78,1,7,272,13,54.58,9.967020886771712,4.779411764705882,650,1090.9124221326492,3
491.0,72.56,2,7,49,2,9.82,9.979633401221996,4.081632653061225,100,918.3299389002037,3
1335.0,174.0,2,3,133,6,26.7,9.962546816479401,4.511278195488721,300,1023.5955056179776,3
5306.0,270.4,1,3,530,26,106.12,9.98869204673954,4.905660377358491,1300,1125.028269883151,3
5561.0,184.44,0,3,556,27,111.22,9.998201762272972,4.856115107913669,1350,1113.8104657435713,3
3697.0,64.8,0,3,369,18,73.94,9.981065728969435,4.878048780487805,900,1117.2031376791995,3
989.0,181.12,1,1,98,4,19.78,9.908998988877654,4.081632653061225,200,911.1223458038422,3
2938.0,82.05,2,7,293,14,58.76,9.972770592239618,4.778156996587031,700,1091.286589516678,3
446.0,62.22,2,6,44,2,8.92,9.865470852017937,4.545454545454546,100,1021.0762331838564,3
3562.0,90.86,2,1,356,17,71.24,9.994385176866928,4.775280898876404,850,1093.149915777653,3
314.0,49.5,0,3,31,1,6.28,9.872611464968154,3.225806451612903,50,696.1783439490446,3
417.0,222.32,1,3,41,2,8.34,9.832134292565947,4.878048780487805,100,1099.0407673860911,3
234.0,174.0,0,3,23,1,4.68,9.82905982905983,4.3478260869565215,50,968.3760683760685,3
714.0,184.44,2,3,71,3,14.280000000000001,9.943977591036415,4.225352112676056,150,950.4201680672269,3
65.0,129.6,2,1,6,0,1.3,9.230769230769232,0.0,0,-100.0,3
2512.0,174.0,2,3,251,12,50.24,9.99203821656051,4.780876494023905,600,1094.2675159235669,3
12723.0,373.73,2,3,1272,63,254.46,9.997642065550577,4.952830188679245,3150,1137.9155859467107,0
7207.0,173.5,0,8,720,36,144.14000000000001,9.990287220757597,5.0,1800,1148.7859025946993,3
14553.0,441.9,1,1,1455,72,291.06,9.99793856936714,4.948453608247423,3600,1136.8583797155227,0
1394.0,240.0,2,3,139,6,27.88,9.971305595408895,4.316546762589928,300,976.0401721664276,3
3767.0,174.0,2,3,376,18,75.34,9.981417573666047,4.787234042553192,900,1094.5845500398195,3
292.0,187.95,1,3,29,1,5.84,9.931506849315069,3.4482758620689653,50,756.1643835616438,3
40488.0,185.7,0,7,4048,202,809.76,9.998024105907923,4.9901185770750995,10100,1147.2831456233946,0
14621.0,18.0,2,4,1462,73,292.42,9.999316052253608,4.993160054719562,3650,1148.2046371657204,0
913.0,184.14,1,4,91,4,18.26,9.967141292442497,4.395604395604396,200,995.2902519167578,3
